FullGeoName,YEAR,STATE,RATE,URL
Al,2020,AL,73.2,/nchs/pressroom/states/alabama/al.htm
Ak,2020,AK,76.6,/nchs/pressroom/states/alaska/ak.htm
Az,2020,AZ,76.3,/nchs/pressroom/states/arizona/az.htm
Ar,2020,AR,73.8,/nchs/pressroom/states/arkansas/ar.htm
Ca,2020,CA,79,/nchs/pressroom/states/california/ca.htm
Co,2020,CO,78.3,/nchs/pressroom/states/colorado/co.htm
Ct,2020,CT,78.4,/nchs/pressroom/states/connecticut/ct.htm
De,2020,DE,76.7,/nchs/pressroom/states/delaware/de.htm
Fl,2020,FL,77.5,/nchs/pressroom/states/florida/fl.htm
Ga,2020,GA,75.6,/nchs/pressroom/states/georgia/ga.htm
Hi,2020,HI,80.7,/nchs/pressroom/states/hawaii/hi.htm
Id,2020,ID,78.4,/nchs/pressroom/states/idaho/id.htm
Il,2020,IL,76.8,/nchs/pressroom/states/illinois/il.htm
In,2020,IN,75,/nchs/pressroom/states/indiana/in.htm
Ia,2020,IA,77.5,/nchs/pressroom/states/iowa/ia.htm
Ks,2020,KS,76.4,/nchs/pressroom/states/kansas/ks.htm
Ky,2020,KY,73.5,/nchs/pressroom/states/kentucky/ky.htm
La,2020,LA,73.1,/nchs/pressroom/states/louisiana/la.htm
Me,2020,ME,77.8,/nchs/pressroom/states/maine/me.htm
Md,2020,MD,76.8,/nchs/pressroom/states/maryland/md.htm
Ma,2020,MA,79,/nchs/pressroom/states/massachusetts/ma.htm
Mi,2020,MI,76,/nchs/pressroom/states/michigan/mi.htm
Mn,2020,MN,79.1,/nchs/pressroom/states/minnesota/mn.htm
Ms,2020,MS,71.9,/nchs/pressroom/states/mississippi/ms.htm
Mo,2020,MO,75.1,/nchs/pressroom/states/missouri/mo.htm
Mt,2020,MT,76.8,/nchs/pressroom/states/montana/mt.htm
Ne,2020,NE,77.7,/nchs/pressroom/states/nebraska/ne.htm
Nv,2020,NV,76.3,/nchs/pressroom/states/nevada/nv.htm
Nh,2020,NH,79,/nchs/pressroom/states/newhampshire/nh.htm
Nj,2020,NJ,77.5,/nchs/pressroom/states/newjersey/nj.htm
Nm,2020,NM,74.5,/nchs/pressroom/states/newmexico/nm.htm
Ny,2020,NY,77.7,/nchs/pressroom/states/newyork/ny.htm
Nc,2020,NC,76.1,/nchs/pressroom/states/northcarolina/nc.htm
Nd,2020,ND,76.9,/nchs/pressroom/states/northdakota/nd.htm
Oh,2020,OH,75.3,/nchs/pressroom/states/ohio/oh.htm
Ok,2020,OK,74.1,/nchs/pressroom/states/oklahoma/ok.htm
Or,2020,OR,78.8,/nchs/pressroom/states/oregon/or.htm
Pa,2020,PA,76.8,/nchs/pressroom/states/pennsylvania/pa.htm
Ri,2020,RI,78.2,/nchs/pressroom/states/rhodeisland/ri.htm
Sc,2020,SC,74.8,/nchs/pressroom/states/southcarolina/sc.htm
Sd,2020,SD,76.7,/nchs/pressroom/states/southdakota/sd.htm
Tn,2020,TN,73.8,/nchs/pressroom/states/tennessee/tn.htm
Tx,2020,TX,76.5,/nchs/pressroom/states/texas/tx.htm
Ut,2020,UT,78.6,/nchs/pressroom/states/utah/ut.htm
Vt,2020,VT,78.8,/nchs/pressroom/states/vermont/vt.htm
Va,2020,VA,77.6,/nchs/pressroom/states/virginia/va.htm
Wa,2020,WA,79.2,/nchs/pressroom/states/washington/wa.htm
Wv,2020,WV,72.8,/nchs/pressroom/states/westvirginia/wv.htm
Wi,2020,WI,77.7,/nchs/pressroom/states/wisconsin/wi.htm
Wy,2020,WY,76.3,/nchs/pressroom/states/wyoming/wy.htm
Al,2019,AL,75.2,/nchs/pressroom/states/alabama/al.htm
Ak,2019,AK,77.7,/nchs/pressroom/states/alaska/ak.htm
Az,2019,AZ,78.8,/nchs/pressroom/states/arizona/az.htm
Ar,2019,AR,75.7,/nchs/pressroom/states/arkansas/ar.htm
Ca,2019,CA,80.9,/nchs/pressroom/states/california/ca.htm
Co,2019,CO,80,/nchs/pressroom/states/colorado/co.htm
Ct,2019,CT,80.3,/nchs/pressroom/states/connecticut/ct.htm
De,2019,DE,78.1,/nchs/pressroom/states/delaware/de.htm
Fl,2019,FL,79,/nchs/pressroom/states/florida/fl.htm
Ga,2019,GA,77.4,/nchs/pressroom/states/georgia/ga.htm
Hi,2019,HI,80.9,/nchs/pressroom/states/hawaii/hi.htm
Id,2019,ID,79.5,/nchs/pressroom/states/idaho/id.htm
Il,2019,IL,79,/nchs/pressroom/states/illinois/il.htm
In,2019,IN,77,/nchs/pressroom/states/indiana/in.htm
Ia,2019,IA,79,/nchs/pressroom/states/iowa/ia.htm
Ks,2019,KS,78.2,/nchs/pressroom/states/kansas/ks.htm
Ky,2019,KY,75.5,/nchs/pressroom/states/kentucky/ky.htm
La,2019,LA,75.7,/nchs/pressroom/states/louisiana/la.htm
Me,2019,ME,78.3,/nchs/pressroom/states/maine/me.htm
Md,2019,MD,78.5,/nchs/pressroom/states/maryland/md.htm
Ma,2019,MA,80.4,/nchs/pressroom/states/massachusetts/ma.htm
Mi,2019,MI,78,/nchs/pressroom/states/michigan/mi.htm
Mn,2019,MN,80.4,/nchs/pressroom/states/minnesota/mn.htm
Ms,2019,MS,74.4,/nchs/pressroom/states/mississippi/ms.htm
Mo,2019,MO,76.9,/nchs/pressroom/states/missouri/mo.htm
Mt,2019,MT,78.4,/nchs/pressroom/states/montana/mt.htm
Ne,2019,NE,79.2,/nchs/pressroom/states/nebraska/ne.htm
Nv,2019,NV,78,/nchs/pressroom/states/nevada/nv.htm
Nh,2019,NH,79.4,/nchs/pressroom/states/newhampshire/nh.htm
Nj,2019,NJ,80.1,/nchs/pressroom/states/newjersey/nj.htm
Nm,2019,NM,76.9,/nchs/pressroom/states/newmexico/nm.htm
Ny,2019,NY,80.7,/nchs/pressroom/states/newyork/ny.htm
Nc,2019,NC,77.6,/nchs/pressroom/states/northcarolina/nc.htm
Nd,2019,ND,78.8,/nchs/pressroom/states/northdakota/nd.htm
Oh,2019,OH,76.9,/nchs/pressroom/states/ohio/oh.htm
Ok,2019,OK,75.7,/nchs/pressroom/states/oklahoma/ok.htm
Or,2019,OR,79.6,/nchs/pressroom/states/oregon/or.htm
Pa,2019,PA,78.3,/nchs/pressroom/states/pennsylvania/pa.htm
Ri,2019,RI,79.5,/nchs/pressroom/states/rhodeisland/ri.htm
Sc,2019,SC,76.8,/nchs/pressroom/states/southcarolina/sc.htm
Sd,2019,SD,78.4,/nchs/pressroom/states/southdakota/sd.htm
Tn,2019,TN,75.6,/nchs/pressroom/states/tennessee/tn.htm
Tx,2019,TX,78.6,/nchs/pressroom/states/texas/tx.htm
Ut,2019,UT,79.7,/nchs/pressroom/states/utah/ut.htm
Vt,2019,VT,79.8,/nchs/pressroom/states/vermont/vt.htm
Va,2019,VA,79.1,/nchs/pressroom/states/virginia/va.htm
Wa,2019,WA,80,/nchs/pressroom/states/washington/wa.htm
Wv,2019,WV,74.5,/nchs/pressroom/states/westvirginia/wv.htm
Wi,2019,WI,79.3,/nchs/pressroom/states/wisconsin/wi.htm
Wy,2019,WY,77.7,/nchs/pressroom/states/wyoming/wy.htm
Al,2018,AL,75.1,/nchs/pressroom/states/alabama/al.htm
Ak,2018,AK,78,/nchs/pressroom/states/alaska/ak.htm
Az,2018,AZ,78.7,/nchs/pressroom/states/arizona/az.htm
Ar,2018,AR,75.6,/nchs/pressroom/states/arkansas/ar.htm
Ca,2018,CA,80.8,/nchs/pressroom/states/california/ca.htm
Co,2018,CO,80,/nchs/pressroom/states/colorado/co.htm
Ct,2018,CT,80.4,/nchs/pressroom/states/connecticut/ct.htm
De,2018,DE,77.8,/nchs/pressroom/states/delaware/de.htm
Fl,2018,FL,78.9,/nchs/pressroom/states/florida/fl.htm
Ga,2018,GA,77.2,/nchs/pressroom/states/georgia/ga.htm
Hi,2018,HI,81,/nchs/pressroom/states/hawaii/hi.htm
Id,2018,ID,79,/nchs/pressroom/states/idaho/id.htm
Il,2018,IL,78.8,/nchs/pressroom/states/illinois/il.htm
In,2018,IN,76.8,/nchs/pressroom/states/indiana/in.htm
Ia,2018,IA,79.2,/nchs/pressroom/states/iowa/ia.htm
Ks,2018,KS,78,/nchs/pressroom/states/kansas/ks.htm
Ky,2018,KY,75.3,/nchs/pressroom/states/kentucky/ky.htm
La,2018,LA,75.6,/nchs/pressroom/states/louisiana/la.htm
Me,2018,ME,78.6,/nchs/pressroom/states/maine/me.htm
Md,2018,MD,78.5,/nchs/pressroom/states/maryland/md.htm
Ma,2018,MA,80.1,/nchs/pressroom/states/massachusetts/ma.htm
Mi,2018,MI,77.7,/nchs/pressroom/states/michigan/mi.htm
Mn,2018,MN,80.5,/nchs/pressroom/states/minnesota/mn.htm
Ms,2018,MS,74.6,/nchs/pressroom/states/mississippi/ms.htm
Mo,2018,MO,76.6,/nchs/pressroom/states/missouri/mo.htm
Mt,2018,MT,78.7,/nchs/pressroom/states/montana/mt.htm
Ne,2018,NE,79.1,/nchs/pressroom/states/nebraska/ne.htm
Nv,2018,NV,77.9,/nchs/pressroom/states/nevada/nv.htm
Nh,2018,NH,79.1,/nchs/pressroom/states/newhampshire/nh.htm
Nj,2018,NJ,79.8,/nchs/pressroom/states/newjersey/nj.htm
Nm,2018,NM,77.2,/nchs/pressroom/states/newmexico/nm.htm
Ny,2018,NY,80.5,/nchs/pressroom/states/newyork/ny.htm
Nc,2018,NC,77.6,/nchs/pressroom/states/northcarolina/nc.htm
Nd,2018,ND,79.3,/nchs/pressroom/states/northdakota/nd.htm
Oh,2018,OH,76.8,/nchs/pressroom/states/ohio/oh.htm
Ok,2018,OK,75.6,/nchs/pressroom/states/oklahoma/ok.htm
Or,2018,OR,79.7,/nchs/pressroom/states/oregon/or.htm
Pa,2018,PA,78.1,/nchs/pressroom/states/pennsylvania/pa.htm
Ri,2018,RI,79.8,/nchs/pressroom/states/rhodeisland/ri.htm
Sc,2018,SC,76.5,/nchs/pressroom/states/southcarolina/sc.htm
Sd,2018,SD,78.9,/nchs/pressroom/states/southdakota/sd.htm
Tn,2018,TN,75.5,/nchs/pressroom/states/tennessee/tn.htm
Tx,2018,TX,78.4,/nchs/pressroom/states/texas/tx.htm
Ut,2018,UT,79.6,/nchs/pressroom/states/utah/ut.htm
Vt,2018,VT,79.3,/nchs/pressroom/states/vermont/vt.htm
Va,2018,VA,79,/nchs/pressroom/states/virginia/va.htm
Wa,2018,WA,80,/nchs/pressroom/states/washington/wa.htm
Wv,2018,WV,74.4,/nchs/pressroom/states/westvirginia/wv.htm
Wi,2018,WI,79.3,/nchs/pressroom/states/wisconsin/wi.htm
Wy,2018,WY,78.1,/nchs/pressroom/states/wyoming/wy.htm